Region,Mun_City,Barangay,Bgy_Old names,"Urban / Rural
(based on 2020 CPH)",2020 Census Popn
Region I (Ilocos Region),Adams,Adams,,R,2189
Region I (Ilocos Region),Bacarra,Bani,,R,1079
Region I (Ilocos Region),Bacarra,Buyon,,R,1669
Region I (Ilocos Region),Bacarra,Cabaruan,,R,1418
Region I (Ilocos Region),Bacarra,Cabulalaan,,R,733
Region I (Ilocos Region),Bacarra,Cabusligan,,R,1170
Region I (Ilocos Region),Bacarra,Cadaratan,,R,1212
Region I (Ilocos Region),Bacarra,Calioet-Libong,,R,827
Region I (Ilocos Region),Bacarra,Casilian,,R,1061
Region I (Ilocos Region),Bacarra,Corocor,,R,867
Region I (Ilocos Region),Bacarra,Duripes,,R,1036
Region I (Ilocos Region),Bacarra,Ganagan,,R,701
Region I (Ilocos Region),Bacarra,Libtong,,R,1620
Region I (Ilocos Region),Bacarra,Macupit,,R,647
Region I (Ilocos Region),Bacarra,Nambaran,,R,1004
Region I (Ilocos Region),Bacarra,Natba,,R,560
Region I (Ilocos Region),Bacarra,Paninaan,,R,435
Region I (Ilocos Region),Bacarra,Pasiocan,,R,1209
Region I (Ilocos Region),Bacarra,Pasngal,,R,799
Region I (Ilocos Region),Bacarra,Pipias,,R,1047
Region I (Ilocos Region),Bacarra,Pulangi,,R,1091
Region I (Ilocos Region),Bacarra,Pungto,,R,554
Region I (Ilocos Region),Bacarra,San Agustin I ,,R,544
Region I (Ilocos Region),Bacarra,San Agustin II ,,R,281
Region I (Ilocos Region),Bacarra,San Andres I ,,R,796
Region I (Ilocos Region),Bacarra,San Andres II ,,R,724
Region I (Ilocos Region),Bacarra,San Gabriel I ,,R,294
Region I (Ilocos Region),Bacarra,San Gabriel II ,,R,406
Region I (Ilocos Region),Bacarra,San Pedro I ,,R,393
Region I (Ilocos Region),Bacarra,San Pedro II ,,R,585
Region I (Ilocos Region),Bacarra,San Roque I ,,R,530
Region I (Ilocos Region),Bacarra,San Roque II ,,R,399
Region I (Ilocos Region),Bacarra,San Simon I ,,R,637
Region I (Ilocos Region),Bacarra,San Simon II ,,R,341
Region I (Ilocos Region),Bacarra,San Vicente ,,R,723
Region I (Ilocos Region),Bacarra,Sangil,,R,1097
